date	temperature	sports_drink	soda	bottled_water	fruit_juice
2014/4/1	13.9	2.263703264	1.479171948	2.286655409	2.78874573
2014/4/2	15.2	1.697736784	1.039873798	1.607946622	1.855178859
2014/4/3	13.8	1.407450232	0.965123044	1.304827974	1.753766695
2014/4/4	15.3	1.209597579	0.827481296	1.076016178	1.531756441
2014/4/5	11.4	1.206834124	0.755487783	1.012055299	1.354133568
2014/4/6	9	1.124408072	0.700972397	0.983902958	1.258334307
2014/4/7	11.4	1.101149071	0.681183309	0.973073715	1.239760948
2014/4/8	15.8	1.205052292	0.803442808	1.147940784	1.428015449
2014/4/9	15.5	1.266404062	0.842894707	1.154127954	1.536702369
2014/4/10	16.1	1.315317218	0.868774511	1.200240875	1.532556408
2014/4/11	12.9	1.37558223	0.842883209	1.226854871	1.492424515
2014/4/12	14.6	1.356126754	0.892260227	1.149650581	1.389678771
2014/4/13	14.4	1.210045226	0.878404042	1.154434624	1.430035091
2014/4/14	14	1.172797272	0.816952371	1.157413973	1.321572371
2014/4/15	16.3	1.217102707	0.857046867	1.197671454	1.498403648
2014/4/16	18.7	1.291887513	0.902076538	1.223445297	1.618246716
2014/4/17	17.7	1.334888505	0.941751246	1.23637251	1.56314176
2014/4/18	11.8	1.260976333	0.927195845	1.169506012	1.433699047
2014/4/19	11.7	0.878125381	0.745151887	0.950374363	1.126208715
2014/4/20	11	0.876782056	0.739899136	0.991557217	1.128045885
2014/4/21	13.4	0.876944379	0.750043024	1.007186769	1.159435257
2014/4/22	15.2	0.937007352	0.885442499	1.101301673	1.262923296
2014/4/23	16.2	0.959136831	0.921620616	1.121703476	1.310578093
2014/4/24	16.6	1.072424898	1.03633381	1.225178208	1.485467526
2014/4/25	17.8	1.164902717	1.048659212	1.254675397	1.560165686
2014/4/26	18.2	1.21324915	1.137599468	1.211054145	1.696104041
2014/4/27	18.1	1.15337215	1.044147639	1.166646953	1.506658762
2014/4/28	18.6	1.093820963	1.01533159	1.12949051	1.499730794
2014/4/29	17.8	0.974241703	1.035964396	1.098026123	1.483667076
2014/4/30	16.7	0.926768411	0.976764386	1.096017128	1.40858714
2014/5/1	20.6	0.877366043	0.954305933	1.144310769	1.435656322
2014/5/2	21	1.053984131	1.133704659	1.198948841	1.585565044
2014/5/3	21.3	1.313501805	1.311978948	1.207387367	1.902789348
2014/5/4	18.6	1.190811987	1.145590993	1.09462871	1.631782669
2014/5/5	18.1	1.118804496	1.081759893	1.02713436	1.515264969
2014/5/6	14.3	0.958767063	0.937416367	0.940014098	1.34297572
2014/5/7	16.5	1.002404082	0.930451314	0.957923483	1.311623184
2014/5/8	18.7	1.115068109	1.077730207	1.088001534	1.454024493
2014/5/9	19.3	1.188835413	1.090276273	1.146635731	1.497978257
2014/5/10	19.8	1.276564298	1.253089004	1.192606274	1.613178725
2014/5/11	20.6	1.273787207	1.256393766	1.197311221	1.599017764
2014/5/12	19.6	1.21794233	1.216596753	1.198501981	1.52039402
2014/5/13	19.3	1.130594973	1.236242223	1.131488083	1.513343442
2014/5/14	21.9	1.13458738	1.254865831	1.157402681	1.476120794
2014/5/15	19.9	1.302098883	1.406059978	1.250574503	1.656217709
2014/5/16	21.5	1.401496607	1.397286851	1.268879654	1.596816189
2014/5/17	21.1	1.512683417	1.509889747	1.367518044	1.769347104
2014/5/18	20.5	1.453321156	1.471809917	1.37344316	1.682353618
2014/5/19	21.1	1.543841899	1.499844629	1.436101338	1.764563263
2014/5/20	21.7	1.370110939	1.439437962	1.327846828	1.752732392
2014/5/21	17.5	1.304873333	1.392885254	1.218067413	1.648423093
2014/5/22	18.6	1.213525525	1.219827804	1.215913062	1.451647351
2014/5/23	17.8	1.280126076	1.22154008	1.179567851	1.463905314
2014/5/24	20.6	1.288801565	1.284191201	1.232090931	1.611872764
2014/5/25	22.7	1.35895204	1.333486021	1.281326435	1.611026927
2014/5/26	21.3	1.361897837	1.330787861	1.269946342	1.674303656
2014/5/27	21.4	1.519859375	1.449123246	1.336249528	1.738912777
2014/5/28	22.7	1.533788676	1.473106843	1.457031916	1.789477642
2014/5/29	23.1	1.776311333	1.696599736	1.651233241	1.975511306
2014/5/30	24.1	1.884634274	1.719710841	1.707291673	2.072631647
2014/5/31	25.6	2.209682607	1.805238093	1.729646263	2.194706849
2014/6/1	26.6	2.147022514	1.784127222	1.762461729	2.118983807
2014/6/2	25.5	2.309354012	1.82993127	1.797928749	2.242965134
2014/6/3	24	2.178463847	1.654681143	1.77313208	2.157334904
2014/6/4	24.3	2.049432117	1.637160462	1.610961262	1.989584216
2014/6/5	21.2	1.685234061	1.432531802	1.451776514	1.738624878
2014/6/6	19.9	1.44128465	1.234816943	1.231127522	1.561276452
2014/6/7	18.4	1.073834857	0.961645135	1.050929689	1.262274683
2014/6/8	20.5	1.041096501	0.93494541	1.015563583	1.241573693
2014/6/9	22.9	1.101385187	0.974850612	1.074259645	1.443423479
2014/6/10	23.5	1.612387165	1.295435969	1.347320778	1.754268231
2014/6/11	22.2	1.415557802	1.327304667	1.368863024	1.690755916
2014/6/12	22	1.307627748	1.271280471	1.246443878	1.581141188
2014/6/13	24.9	1.526506691	1.329417445	1.361074842	1.733469384
2014/6/14	24.7	2.011105546	1.677356707	1.556600459	2.068606244
2014/6/15	24.4	1.983051382	1.682981435	1.538215878	2.010313424
2014/6/16	25	1.853298525	1.574198291	1.485709675	1.970906199
2014/6/17	24.3	1.952480869	1.536417693	1.543178826	2.010853253
2014/6/18	23.2	2.005306091	1.565362432	1.513180169	1.949719367
2014/6/19	24.8	1.945646849	1.518718811	1.567174174	1.943877538
2014/6/20	24.6	1.966463322	1.545329299	1.505650982	2.085957329
2014/6/21	24.6	1.846906447	1.514347856	1.35478828	1.801932342
2014/6/22	22.5	1.817069059	1.525587187	1.374285249	1.747866804
2014/6/23	24.2	1.590614649	1.312986215	1.313111918	1.643035152
2014/6/24	22.6	1.719020538	1.449692929	1.446132078	1.835564143
2014/6/25	22.6	1.585553229	1.367875571	1.418808727	1.660200508
2014/6/26	23.6	1.699739227	1.462240351	1.486453916	1.731788761
2014/6/27	23.9	1.756493188	1.473117537	1.540061724	1.881691097
2014/6/28	22.8	1.640757428	1.357919547	1.330587195	1.747906337
2014/6/29	23.3	1.561542541	1.286484484	1.25802658	1.633306164
2014/6/30	23.6	1.472242957	1.258514656	1.291968033	1.622093334
2014/7/1	25.3	1.76599109	1.503544309	1.447043032	1.764335541
2014/7/2	25.8	1.846473143	1.634538655	1.532963736	1.907852289
2014/7/3	24.8	1.958057338	1.625007056	1.611816054	1.876922696
2014/7/4	21.6	1.782948359	1.449051856	1.502351975	1.774048247
2014/7/5	22	1.501446883	1.188618408	1.302528022	1.620594664
2014/7/6	24.2	1.489237946	1.231223705	1.327773094	1.58576145
2014/7/7	23.4	1.522913133	1.217815583	1.350611469	1.695400879
2014/7/8	26.8	1.702440943	1.324153337	1.439457585	1.841540328
2014/7/9	24.2	1.804782248	1.512768476	1.53757621	1.945218092
2014/7/10	26.6	1.873876842	1.472994054	1.547406046	1.823433697
2014/7/11	28.5	2.128841909	1.526531338	1.617870916	1.888680969
2014/7/12	29.2	2.509138693	1.652643929	1.673884825	2.173123215
2014/7/13	26.9	2.31979057	1.677041843	1.716367139	2.173626577
2014/7/14	28.5	2.306582642	1.544823872	1.632948131	1.991153819
2014/7/15	28.2	2.555756141	1.85496343	1.781929422	2.174627842
2014/7/16	28	2.654206293	1.865469809	1.833609527	2.254021089
2014/7/17	27.1	2.647371055	1.839539151	1.864748631	2.140984398
2014/7/18	24.9	2.07432105	1.69950746	1.579063826	1.994055339
2014/7/19	23.8	1.90691195	1.485478844	1.5084614	1.86832418
2014/7/20	24.5	1.703587829	1.364614779	1.324009431	1.763870213
2014/7/21	25	1.706606411	1.358246012	1.342289194	1.71359201
2014/7/22	27.7	2.075762161	1.451012375	1.610768726	1.907005815
2014/7/23	29.4	2.573536236	1.65327395	1.758957596	2.24543182
2014/7/24	29.9	2.839469696	1.921707408	1.885042828	2.336162106
2014/7/25	30.5	3.117931547	2.011230144	1.900738532	2.391393661
2014/7/26	30.5	2.983054756	1.981585573	1.930444177	2.559881359
2014/7/27	30.1	2.776008783	1.894834189	1.853145013	2.363950703
2014/7/28	27.7	2.516080796	1.751435442	1.736209687	2.135746571
2014/7/29	27.6	2.580857291	1.837654815	1.943365927	2.296948626
2014/7/30	27.9	2.613410315	1.851640029	1.901473171	2.258897233
2014/7/31	29.5	2.698240628	1.920912894	1.927261273	2.420330619
2014/8/1	29.8	3.070525507	2.076974567	1.931335954	2.521404668
2014/8/2	30.9	3.147524576	2.261778632	2.055129074	2.634002966
2014/8/3	31	2.826919951	2.095023564	1.923250489	2.559481859
2014/8/4	30.5	2.771044924	1.996948588	1.894446808	2.445480824
2014/8/5	31.1	3.081255931	2.030385513	2.052479998	2.64928342
2014/8/6	30.8	3.176190673	2.094077922	2.030343512	2.627366801
2014/8/7	29.7	3.094083785	2.172736228	2.064402828	2.401967061
2014/8/8	29	2.749857539	1.858470329	1.75504764	2.260048913
2014/8/9	25.4	2.163851186	1.584978092	1.546773115	2.092287838
2014/8/10	26.3	1.850042118	1.360579625	1.330560051	1.757024106
2014/8/11	29.4	1.884520564	1.321706721	1.383305143	1.743554221
2014/8/12	26.3	2.11614965	1.481953828	1.531207563	1.966764369
2014/8/13	26.7	1.885349036	1.251084336	1.433685974	1.846692188
2014/8/14	27.1	1.970278169	1.339411774	1.353994415	1.922954319
2014/8/15	29.5	1.963401465	1.357918925	1.380243104	1.807929741
2014/8/16	27	2.176418417	1.503947553	1.571345348	1.924806939
2014/8/17	26.2	1.948487264	1.320991727	1.37420812	1.864290943
2014/8/18	29.1	2.044744292	1.3862108	1.433712778	1.889270338
2014/8/19	30.3	2.555569749	1.756054334	1.690733611	2.237393398
2014/8/20	31.1	2.809668216	1.835647639	1.767457649	2.318483829
2014/8/21	30.5	2.98024948	1.859798302	1.886729745	2.380472203
2014/8/22	30.2	2.914319058	1.852118102	1.815380825	2.476845581
2014/8/23	27.6	2.476533607	1.601702836	1.632878674	2.075865996
2014/8/24	28.4	2.086629205	1.472171573	1.522949902	2.030732526
2014/8/25	27	2.089522463	1.42359788	1.520654102	2.04571341
2014/8/26	25.2	1.85640352	1.343030222	1.445078939	1.880974646
2014/8/27	21.2	1.668936135	1.201695407	1.315032537	1.729423089
2014/8/28	21.1	1.225918606	1.081389831	1.202932282	1.596682686
2014/8/29	23.3	1.104861317	1.040197145	1.150212775	1.524162749
2014/8/30	22.6	1.282090567	1.090123722	1.127962294	1.644055544
2014/8/31	23.2	1.172380003	1.039207231	1.111094973	1.645010567
2014/9/1	21.8	1.15002187	1.030452045	1.111752576	1.449287664
2014/9/2	24.5	1.24750744	1.118723879	1.129618841	1.560397245
2014/9/3	24.1	1.247501538	1.177147014	1.207392312	1.704363671
2014/9/4	25.2	1.483842388	1.312968943	1.331919241	1.747273445
2014/9/5	27.8	1.517632977	1.314464142	1.372805575	1.831607259
2014/9/6	27.3	1.687093125	1.390727719	1.375704646	1.909158485
2014/9/7	21.7	1.472651909	1.199159	1.237965599	1.741585565
2014/9/8	22.1	1.390031008	1.130231021	1.18915567	1.560646349
2014/9/9	23.5	1.281595025	1.144216457	1.202048306	1.631101619
2014/9/10	23.4	1.310161733	1.193302966	1.286168897	1.651814733
2014/9/11	21.8	1.273400939	1.238941483	1.193087943	1.636051506
2014/9/12	23.5	1.400137415	1.237884296	1.194474284	1.689721234
2014/9/13	23.1	1.509707796	1.310458992	1.274048711	2.008564172
2014/9/14	23.8	1.538512454	1.329723978	1.252499059	1.975212122
2014/9/15	24.1	1.296656659	1.154556876	1.111948545	1.672319078
2014/9/16	25.1	1.282601251	1.212950014	1.187440734	1.680449569
2014/9/17	23.3	1.365015788	1.311257845	1.294233246	1.743734831
2014/9/18	22.3	1.199231669	1.284848889	1.193349807	1.671803226
2014/9/19	22.3	1.181074472	1.211948754	1.231986248	1.576951841
2014/9/20	20.5	1.134429766	1.200430029	1.145819949	1.636947391
2014/9/21	21.3	1.063531976	1.081528102	1.119398155	1.510157786
2014/9/22	22.6	1.051502267	1.112022917	1.156511153	1.620784752
2014/9/23	22.1	1.169203544	1.1256494	1.129654316	1.603109304
2014/9/24	22.4	1.369804256	1.148539239	1.182493405	1.622929465
2014/9/25	24.4	1.262255101	1.221100312	1.184546431	1.604130017
2014/9/26	22.9	1.292694573	1.271130045	1.206686469	1.739482619
2014/9/27	20.2	1.260340004	1.292431549	1.205015761	1.766845388
2014/9/28	21.7	1.266337826	1.214230452	1.181648201	1.709892312
2014/9/29	23.5	1.351132317	1.234445988	1.204226842	1.722494647
2014/9/30	24.7	1.33206439	1.305684367	1.388449808	1.734993578
2014/10/1	21.2	1.310302113	1.354880674	1.278754486	1.813577452
2014/10/2	21.7	1.201041319	1.274257937	1.278739832	1.568308588
2014/10/3	25.7	1.187527574	1.269397877	1.24598412	1.57325028
2014/10/4	24.2	1.254280059	1.309593902	1.248583659	1.704851264
2014/10/5	17.2	1.028055926	1.116499811	1.06293747	1.511520052
2014/10/6	21.3	0.987885952	1.055032749	1.006082764	1.344580739
2014/10/7	20	1.026751385	1.057148257	0.993085333	1.372253514
2014/10/8	20.3	1.057061535	1.088988584	1.09465538	1.527906271
2014/10/9	21	1.093517992	1.220327228	1.238322903	1.516218198
2014/10/10	22.4	1.017842014	1.142180722	1.130371315	1.515753676
2014/10/11	20.3	0.999178567	1.177236823	1.126101959	1.585934957
2014/10/12	18.6	0.873852493	1.069869221	1.02130893	1.471411471
2014/10/13	18.1	0.8313936	1.043413896	0.978039868	1.341895674
2014/10/14	23.1	0.802430173	0.839359842	1.046717405	1.191798951
2014/10/15	15.9	0.832912408	0.894498336	1.119797382	1.236196047
2014/10/16	16.8	0.800933031	0.841173181	1.000337764	1.185216504
2014/10/17	18.4	0.920009988	0.946274661	1.035619017	1.212387734
2014/10/18	17.5	0.994862667	0.980544621	1.121282958	1.303576819
2014/10/19	18.3	0.945344543	1.017382221	1.163897983	1.53833783
2014/10/20	19.4	0.85075237	0.937846168	1.044954083	1.268988123
2014/10/21	19	0.893214855	0.983972882	1.038413816	1.303239689
2014/10/22	16.1	0.848391646	0.879113929	0.976419025	1.155118493
2014/10/23	14.3	0.818785043	0.805671881	0.943556146	1.03562963
2014/10/24	16.7	0.857484789	0.784447392	0.975915781	1.088975912
2014/10/25	18.3	1.087805838	0.90674407	1.18123538	1.292947753
2014/10/26	20.1	1.083106461	0.917398809	1.137225422	1.31346172
2014/10/27	19.3	1.102513528	0.909068905	1.135513325	1.301753721
2014/10/28	15.8	0.936149756	0.877113628	1.091663731	1.117086156
2014/10/29	16.4	0.850090847	0.838338883	1.047682112	1.056646357
2014/10/30	16.8	0.955995736	0.939615106	1.132769611	1.211866509
2014/10/31	18.4	0.841343588	0.94594424	1.17429268	1.314688737
2014/11/1	16.8	0.894744427	0.927142944	1.129147831	1.270718077
2014/11/2	19.5	0.883014618	0.820570145	1.054200275	1.146155207
2014/11/3	18	0.866883126	0.813445553	1.079932911	1.208383584
2014/11/4	16.2	0.807800491	0.790386451	1.102011685	1.250913684
2014/11/5	15.2	0.893742486	0.777460571	1.115791479	1.063102615
2014/11/6	17.7	0.919345206	0.814403258	1.045844633	1.108837538
2014/11/7	17.7	0.881426086	0.828390919	1.017225391	1.10943213
2014/11/8	14.1	0.810210638	0.750809081	0.994228409	1.019214582
2014/11/9	14.9	0.775549189	0.731864645	0.949400989	0.960323975
2014/11/10	17.8	0.800417967	0.729857964	0.9650774	0.913098277
2014/11/11	14.5	0.809107707	0.810388521	1.041097027	1.068239643
2014/11/12	14.1	0.742221798	0.740516186	1.022636698	0.968660522
2014/11/13	15	0.74578655	0.767595765	1.007205404	0.996297224
2014/11/14	12.8	0.860050125	0.724860383	1.0180111	1.046017668
2014/11/15	12.7	0.886291789	0.693458553	1.002589509	0.996509564
2014/11/16	12.5	0.747929554	0.677424701	0.937021371	0.929304363
2014/11/17	12.1	0.728626131	0.692800458	0.916938046	0.944132198
2014/11/18	12.9	0.728550422	0.646438587	0.935109014	0.902488854
2014/11/19	12.1	0.689192612	0.631445144	0.83231743	0.812453686
2014/11/20	9.1	0.697294879	0.627803258	0.864004118	0.826430582
2014/11/21	12.3	0.699616887	0.565370801	0.841401741	0.756116398
2014/11/22	13.8	0.768013608	0.645191909	0.890087194	0.893308591
2014/11/23	14.1	0.770093138	0.674970409	0.87366664	0.902033909
2014/11/24	13.2	0.753364513	0.650578938	0.849842304	0.858814372
2014/11/25	11.1	0.770659698	0.544323149	0.82403885	0.784656699
2014/11/26	9.2	0.650247173	0.498749965	0.783421868	0.667969159
2014/11/27	12.9	0.722955005	0.540371095	0.818516453	0.685881632
2014/11/28	14.1	0.849158479	0.62990937	0.913728302	0.843778166
2014/11/29	13.8	0.837653148	0.702381052	0.963097952	0.863640165
2014/11/30	15.1	0.814027888	0.651436882	0.913865963	0.827177307
2014/12/1	13.5	0.757762601	0.647112362	0.924732602	0.851651281
2014/12/2	10.8	0.659783483	0.608483602	0.905381093	0.804211799
2014/12/3	8.2	0.622303159	0.542423003	0.897666071	0.728717846
2014/12/4	8.8	0.663820791	0.585811908	0.921882379	0.692964806
2014/12/5	8.3	0.678005283	0.500025577	0.863129496	0.69603808
2014/12/6	5.1	0.640352205	0.474702212	0.853310049	0.656283831
2014/12/7	6.2	0.580681819	0.459102306	0.75228096	0.647212789
2014/12/8	6.6	0.608503196	0.449167597	0.747743061	0.639139594
2014/12/9	7.3	0.721767164	0.514288959	0.843919937	0.728798664
2014/12/10	7.3	0.656707579	0.493761685	0.785110078	0.69674198
2014/12/11	9.6	0.664377916	0.535470865	0.846351602	0.720965816
2014/12/12	9.3	0.608633047	0.520743191	0.843271893	0.753382859
2014/12/13	7	0.690047868	0.541528332	0.875773563	0.711895998
2014/12/14	4.8	0.572088638	0.520682592	0.800889098	0.66967116
2014/12/15	5.3	0.545324761	0.50739044	0.79072536	0.627812091
2014/12/16	3.6	0.586918811	0.439699641	0.745662621	0.6103696
2014/12/17	4.3	0.532637223	0.442077498	0.688027494	0.588052772
2014/12/18	4	0.526389203	0.437413432	0.707193046	0.636314621
2014/12/19	5.4	0.516656549	0.453193371	0.732643619	0.644374233
2014/12/20	5.3	0.573355769	0.489071423	0.7653378	0.683218629
2014/12/21	8.6	0.540523016	0.462281209	0.694399886	0.661798352
2014/12/22	7.1	0.549565379	0.469260912	0.710903394	0.724975962
2014/12/23	6.3	0.53023926	0.474669712	0.716610824	0.75583249
2014/12/24	5.9	0.581065366	0.459037775	0.691799871	0.715509237
2014/12/25	6.3	0.662048252	0.500024309	0.764966358	0.699216719
2014/12/26	5.1	0.657252205	0.459001201	0.69288138	0.684732773
2014/12/27	4.6	0.596724569	0.426895316	0.702530657	0.667455183
2014/12/28	3.8	0.566412125	0.421127264	0.6191077	0.595846449
2014/12/29	4.2	0.560683999	0.402177092	0.607715335	0.60647388
2014/12/30	6.6	0.546734338	0.418277025	0.57025745	0.581426034
2014/12/31	8	0.521617435	0.422236843	0.588202695	0.595861668
2015/1/1	3.7	0.406050636	0.351633605	0.494374603	0.545236247
2015/1/2	2.7	0.350668754	0.330339784	0.461299203	0.490953125
2015/1/3	3.8	0.420694685	0.35893383	0.569015117	0.541958962
2015/1/4	4	0.434578224	0.369810612	0.593436531	0.536931755
2015/1/5	6.9	0.450404708	0.371405384	0.581850441	0.585874805
2015/1/6	10.8	0.660833132	0.471651477	0.710463079	0.696564122
2015/1/7	5.6	0.618284578	0.456637139	0.696086136	0.634807726
2015/1/8	6.2	0.616905596	0.436926886	0.683261849	0.615501405
2015/1/9	6.7	0.648612221	0.435962479	0.70244077	0.59174653
2015/1/10	6.3	0.582603187	0.426075218	0.692475245	0.592384517
2015/1/11	6.4	0.577509656	0.433347495	0.673803597	0.592362627
2015/1/12	5.2	0.564364464	0.427645858	0.661269955	0.583741956
2015/1/13	6.6	0.584267354	0.413578869	0.650993701	0.596531845
2015/1/14	6.6	0.59847639	0.434275358	0.714226832	0.628472893
2015/1/15	5.4	0.671561162	0.474676936	0.70694739	0.65174264
2015/1/16	8.9	0.627237009	0.454892268	0.699046581	0.626143636
2015/1/17	5.9	0.602358839	0.465637392	0.730330719	0.635176888
2015/1/18	4.7	0.562891223	0.436556818	0.678284934	0.594731725
2015/1/19	5.7	0.589586292	0.442040938	0.693112782	0.628350861
2015/1/20	6.3	0.626679705	0.45321285	0.742926166	0.686790653
2015/1/21	2.5	0.637282303	0.448429491	0.71232465	0.603372051
2015/1/22	4.6	0.516338312	0.430924287	0.732999167	0.556202516
2015/1/23	6.9	0.550388981	0.437537284	0.681823742	0.57138107
2015/1/24	4.9	0.565691687	0.452021479	0.691846683	0.61452287
2015/1/25	7	0.582276907	0.461647652	0.698399366	0.629117489
2015/1/26	9	0.598125243	0.475319647	0.713146827	0.641992653
2015/1/27	9.8	0.663511575	0.563414559	0.781351652	0.684119811
2015/1/28	5.2	0.660087848	0.555898388	0.733329321	0.727810127
2015/1/29	3.9	0.598366306	0.483075181	0.728323023	0.619814498
2015/1/30	2.2	0.530572639	0.438942263	0.683355256	0.601506826
2015/1/31	4.9	0.524271875	0.388052807	0.62803893	0.518350849
2015/2/1	4	0.482179734	0.39394642	0.63925914	0.517348827
2015/2/2	4.7	0.484261838	0.391926032	0.638896853	0.51307025
2015/2/3	4.7	0.510505969	0.450462699	0.65921263	0.505301541
2015/2/4	5.2	0.54664267	0.459271185	0.67116324	0.551721125
2015/2/5	2.6	0.580550574	0.4336914	0.656289637	0.579721059
2015/2/6	5.4	0.514745702	0.427143212	0.63623555	0.558667577
2015/2/7	5.3	0.531629458	0.444221574	0.68604979	0.545485519
2015/2/8	4	0.529078169	0.416602592	0.595447309	0.596339254
2015/2/9	2	0.503325014	0.407593571	0.585830941	0.55838414
2015/2/10	3.2	0.553858301	0.43226614	0.674102227	0.606022252
2015/2/11	5.6	0.558331098	0.459472842	0.651532483	0.605969907
2015/2/12	7	0.605279888	0.477313559	0.695606306	0.695546679
2015/2/13	5	0.657496531	0.485926721	0.711551769	0.708145457
2015/2/14	4.9	0.567897544	0.452094055	0.69030231	0.661197778
2015/2/15	5.5	0.550460193	0.469172187	0.639903652	0.61823505
2015/2/16	7	0.549533079	0.451316187	0.652093034	0.615700177
2015/2/17	3.9	0.61573527	0.4883945	0.764286424	0.629901484
2015/2/18	3.3	0.546777852	0.463900689	0.739019611	0.636092712
2015/2/19	6.2	0.57052773	0.472082003	0.753555785	0.651179223
2015/2/20	6.3	0.620827582	0.500752984	0.738030783	0.676290086
2015/2/21	6.2	0.674626163	0.515805283	0.789676508	0.670117907
2015/2/22	6.3	0.605629395	0.499176275	0.74472637	0.662323965
2015/2/23	10.7	0.611301332	0.492145696	0.741477597	0.664946318
2015/2/24	9.7	0.65613936	0.609873583	0.916982932	0.823384801
2015/2/25	9.2	0.630577982	0.596274406	0.895218579	0.80972752
2015/2/26	6.6	0.609204506	0.586613429	0.819531931	0.829458695
2015/2/27	8.2	0.5823198	0.581231675	0.776360399	0.760853084
2015/2/28	7.4	0.556387662	0.558674461	0.769576772	0.712797658
2015/3/1	6.9	0.569318928	0.537540444	0.711285601	0.69990845
2015/3/2	9.3	0.552930557	0.532296456	0.738128702	0.661772527
2015/3/3	5.6	0.594203285	0.573668532	0.732911544	0.6702176
2015/3/4	9.6	0.53096687	0.575593635	0.746621486	0.68156108
2015/3/5	9.3	0.702937991	0.65923814	0.763394786	0.786265412
2015/3/6	7.3	0.623491028	0.634805981	0.710229847	0.736871684
2015/3/7	6	0.547453748	0.507551945	0.671306478	0.633277102
2015/3/8	8.2	0.586147222	0.494281108	0.648712299	0.582492891
2015/3/9	9	0.580085085	0.493523754	0.63988745	0.628985441
2015/3/10	7.7	0.603290585	0.518367252	0.653651931	0.643446201
2015/3/11	6.2	0.584978314	0.516868802	0.682589533	0.607972031
2015/3/12	8.6	0.744013447	0.594779139	0.750113297	0.697758373
2015/3/13	8.9	0.683690442	0.613355468	0.693198074	0.831490671
2015/3/14	8.9	0.753133294	0.638262743	0.758776607	0.867603291
2015/3/15	8.4	0.654986292	0.600739513	0.734265157	0.844508822
2015/3/16	11.1	0.676225469	0.595514541	0.745619858	0.86339167
2015/3/17	14.5	0.778944982	0.769483953	0.94983542	1.067126125
2015/3/18	14.8	0.81618571	0.812257347	0.934409136	1.209926933
2015/3/19	11.9	0.818041083	0.800135633	1.079797216	1.105752477
2015/3/20	11.8	0.722232859	0.786913896	0.983767167	1.060349285
2015/3/21	10.5	0.670021891	0.753228054	0.825072256	0.868930612
2015/3/22	12.9	0.681846233	0.743701205	0.825289231	0.92494214
2015/3/23	10.7	0.682415599	0.75398881	0.841811396	0.934829969
2015/3/24	8.2	0.721937495	0.714825969	0.888682317	0.912487982
2015/3/25	8.1	0.694140471	0.712301203	0.870016529	0.893153208
2015/3/26	9.5	0.790833223	0.762304887	0.94807282	0.932983372
2015/3/27	12.3	0.785160388	0.840851232	0.984295058	1.141258593
2015/3/28	14.1	0.864418294	0.905525407	1.062014938	1.242004974
2015/3/29	14.6	0.897487382	0.897667108	1.063050807	1.300044337
2015/3/30	16.2	0.886274614	0.88766537	1.054915092	1.257159987
2015/3/31	16.7	0.855381054	1.027790923	1.206239267	1.36935996
2015/4/1	13.9	0.920859284	0.979355395	1.211229489	1.420895277
2015/4/2	11.6	0.763009595	0.903492816	1.109743561	1.12707243
2015/4/3	17.3	0.673762024	0.847951437	1.034969191	1.138293273
2015/4/4	13.2	0.696919975	0.748372247	0.979115115	0.974663695
2015/4/5	10.3	0.601101705	0.687856869	0.911998073	0.868064445
2015/4/6	16.2	0.616514982	0.6972027	0.907318466	0.889203721
2015/4/7	10	0.68136095	0.716875032	1.040486724	0.966663784
2015/4/8	4.1	0.5676891	0.632953696	0.874591353	0.800119394
2015/4/9	7.4	0.558823653	0.575606359	0.796037408	0.739637959
